2009:01:20:08:45:50 75:14350 16:35162
2009:01:20:08:45:50 71:53277 16:61819
2009:01:20:08:45:50 75:25289 17:07447
2009:01:20:08:45:50 72:21322 16:96464
2009:01:20:08:45:50 75:77634 17:15048
2009:01:20:08:45:50 72:83606 17:19263
2009:01:20:08:45:51 76:08581 17:18614
2009:01:20:08:45:51 74:02411 17:36194
2009:01:20:08:45:51 76:33020 17:40458
2009:01:20:08:45:51 74:71672 17:49342
2009:01:20:08:45:51 77:00827 17:40952
2009:01:20:08:45:51 77:77517 17:53693
2009:01:20:08:45:51 77:28284 17:47614
2009:01:20:08:45:51 78:11573 18:69943
2009:01:20:08:45:52 78:50408 17:48090
2009:01:20:08:45:52 78:43849 18:89532
2009:01:20:08:45:52 78:77760 18:05517
2009:01:20:08:45:52 79:63121 19:57397
2009:01:20:08:45:52 79:37652 18:90179
2009:01:20:08:45:52 79:49657 19:59943
2009:01:20:08:45:53 79:57412 19:60060
2009:01:20:08:45:53 79:64665 19:98606
2009:01:20:08:45:46 67:77097 10:07889
2009:01:20:08:45:46 68:20325 10:47501
2009:01:20:08:45:47 68:42243 10:73866
2009:01:20:08:45:47 68:44214 11:34384
2009:01:20:08:45:47 68:94901 11:48774
2009:01:20:08:45:47 69:47308 12:40873
2009:01:20:08:45:47 65:81323 12:69222
2009:01:20:08:45:48 69:53432 12:79357
2009:01:20:08:45:48 65:82138 12:74360
2009:01:20:08:45:48 69:61354 13:38895
2009:01:20:08:45:48 67:09262 13:27937
2009:01:20:08:45:48 71:19311 13:96033
2009:01:20:08:45:48 67:30402 13:38853
2009:01:20:08:45:48 72:18628 15:25329
2009:01:20:08:45:48 68:77500 13:78924
2009:01:20:08:45:49 73:02414 15:50512
2009:01:20:08:45:49 69:39847 14:16516
2009:01:20:08:45:49 73:02827 15:63759
2009:01:20:08:45:49 69:42185 14:51958
2009:01:20:08:45:49 74:21554 15:72435
2009:01:20:08:45:49 69:66569 15:07363
2009:01:20:08:45:49 74:80749 15:77503
2009:01:20:08:45:49 71:39101 16:14273
2009:01:20:08:45:50 74:84869 15:96123
2009:01:20:08:45:50 71:51886 16:48204
2009:01:20:08:45:50 75:14350 16:35162
2009:01:20:08:45:50 71:53277 16:61819
2009:01:20:08:45:50 75:25289 17:07447
2009:01:20:08:45:50 72:21322 16:96464
2009:01:20:08:45:50 75:77634 17:15048
2009:01:20:08:45:50 72:83606 17:19263
2009:01:20:08:45:51 76:08581 17:18614
2009:01:20:08:45:51 74:02411 17:36194
2009:01:20:08:45:51 76:33020 17:40458
2009:01:20:08:45:51 74:71672 17:49342
2009:01:20:08:45:51 77:00827 17:40952
2009:01:20:08:45:51 77:77517 17:53693
2009:01:20:08:45:51 77:28284 17:47614
2009:01:20:08:45:51 78:11573 18:69943
2009:01:20:08:45:52 78:50408 17:48090
2009:01:20:08:45:52 78:43849 18:89532
2009:01:20:08:45:52 78:77760 18:05517
2009:01:20:08:45:52 79:63121 19:57397
2009:01:20:08:45:52 79:37652 18:90179
2009:01:20:08:45:52 79:49657 19:59943
2009:01:20:08:45:53 79:57412 19:60060
2009:01:20:08:45:53 79:64665 19:98606
2009:01:20:08:45:46 67:77097 10:07889
2009:01:20:08:45:46 68:20325 10:47501
2009:01:20:08:45:47 68:42243 10:73866
2009:01:20:08:45:47 68:44214 11:34384
2009:01:20:08:45:47 68:94901 11:48774
2009:01:20:08:45:47 69:47308 12:40873
2009:01:20:08:45:47 65:81323 12:69222
2009:01:20:08:45:48 69:53432 12:79357
2009:01:20:08:45:48 65:82138 12:74360
2009:01:20:08:45:48 69:61354 13:38895
2009:01:20:08:45:48 67:09262 13:27937
2009:01:20:08:45:48 71:19311 13:96033
2009:01:20:08:45:48 67:30402 13:38853
2009:01:20:08:45:48 72:18628 15:25329
2009:01:20:08:45:48 68:77500 13:78924
2009:01:20:08:45:49 73:02414 15:50512
2009:01:20:08:45:49 69:39847 14:16516
2009:01:20:08:45:49 73:02827 15:63759
2009:01:20:08:45:49 69:42185 14:51958
2009:01:20:08:45:49 74:21554 15:72435
2009:01:20:08:45:49 69:66569 15:07363
2009:01:20:08:45:49 74:80749 15:77503
2009:01:20:08:45:49 71:39101 16:14273
2009:01:20:08:45:50 74:84869 15:96123
2009:01:20:08:45:50 71:51886 16:48204
2009:01:20:08:45:50 75:14350 16:35162
2009:01:20:08:45:50 71:53277 16:61819
2009:01:20:08:45:50 75:25289 17:07447
2009:01:20:08:45:50 72:21322 16:96464
2009:01:20:08:45:50 75:77634 17:15048
2009:01:20:08:45:50 72:83606 17:19263
2009:01:20:08:45:51 76:08581 17:18614
2009:01:20:08:45:51 74:02411 17:36194
2009:01:20:08:45:51 76:33020 17:40458
2009:01:20:08:45:51 74:71672 17:49342
2009:01:20:08:45:51 77:00827 17:40952
2009:01:20:08:45:51 77:77517 17:53693
2009:01:20:08:45:51 77:28284 17:47614
2009:01:20:08:45:51 78:11573 18:69943
2009:01:20:08:45:52 78:50408 17:48090
2009:01:20:08:45:52 78:43849 18:89532
2009:01:20:08:45:52 78:77760 18:05517
2009:01:20:08:45:52 79:63121 19:57397
2009:01:20:08:45:52 79:37652 18:90179
2009:01:20:08:45:52 79:49657 19:59943
2009:01:20:08:45:53 79:57412 19:60060
2009:01:20:08:45:53 79:64665 19:98606
2009:01:20:08:45:46 67:77097 10:07889
2009:01:20:08:45:46 68:20325 10:47501
2009:01:20:08:45:47 68:42243 10:73866
2009:01:20:08:45:47 68:44214 11:34384
2009:01:20:08:45:47 68:94901 11:48774
2009:01:20:08:45:47 69:47308 12:40873
2009:01:20:08:45:47 65:81323 12:69222
2009:01:20:08:45:48 69:53432 12:79357
2009:01:20:08:45:48 65:82138 12:74360
2009:01:20:08:45:48 69:61354 13:38895
2009:01:20:08:45:48 67:09262 13:27937
2009:01:20:08:45:48 71:19311 13:96033
2009:01:20:08:45:48 67:30402 13:38853
2009:01:20:08:45:48 72:18628 15:25329
2009:01:20:08:45:48 68:77500 13:78924
2009:01:20:08:45:49 73:02414 15:50512
2009:01:20:08:45:49 69:39847 14:16516
2009:01:20:08:45:49 73:02827 15:63759
2009:01:20:08:45:49 69:42185 14:51958
2009:01:20:08:45:49 74:21554 15:72435
2009:01:20:08:45:49 69:66569 15:07363
2009:01:20:08:45:49 74:80749 15:77503
2009:01:20:08:45:49 71:39101 16:14273
2009:01:20:08:45:50 74:84869 15:96123
2009:01:20:08:45:50 71:51886 16:48204
2009:01:20:08:45:50 75:14350 16:35162
2009:01:20:08:45:50 71:53277 16:61819
2009:01:20:08:45:50 75:25289 17:07447
2009:01:20:08:45:50 72:21322 16:96464
2009:01:20:08:45:50 75:77634 17:15048
2009:01:20:08:45:50 72:83606 17:19263
2009:01:20:08:45:51 76:08581 17:18614
2009:01:20:08:45:51 74:02411 17:36194
2009:01:20:08:45:51 76:33020 17:40458
2009:01:20:08:45:51 74:71672 17:49342
2009:01:20:08:45:51 77:00827 17:40952
2009:01:20:08:45:51 77:77517 17:53693
2009:01:20:08:45:51 77:28284 17:47614
2009:01:20:08:45:51 78:11573 18:69943
2009:01:20:08:45:52 78:50408 17:48090
2009:01:20:08:45:52 78:43849 18:89532
2009:01:20:08:45:52 78:77760 18:05517
2009:01:20:08:45:52 79:63121 19:57397
2009:01:20:08:45:52 79:37652 18:90179
2009:01:20:08:45:52 79:49657 19:59943
2009:01:20:08:45:53 79:57412 19:60060
2009:01:20:08:45:53 79:64665 19:98606
2009:01:20:08:45:46 67:77097 10:07889
2009:01:20:08:45:46 68:20325 10:47501
2009:01:20:08:45:47 68:42243 10:73866
2009:01:20:08:45:47 68:44214 11:34384
2009:01:20:08:45:47 68:94901 11:48774
2009:01:20:08:45:47 69:47308 12:40873
2009:01:20:08:45:47 65:81323 12:69222
2009:01:20:08:45:48 69:53432 12:79357
2009:01:20:08:45:48 65:82138 12:74360
2009:01:20:08:45:48 69:61354 13:38895
2009:01:20:08:45:48 67:09262 13:27937
2009:01:20:08:45:48 71:19311 13:96033
2009:01:20:08:45:48 67:30402 13:38853
2009:01:20:08:45:48 72:18628 15:25329
2009:01:20:08:45:48 68:77500 13:78924
2009:01:20:08:45:49 73:02414 15:50512
2009:01:20:08:45:49 69:39847 14:16516
2009:01:20:08:45:49 73:02827 15:63759
2009:01:20:08:45:49 69:42185 14:51958
2009:01:20:08:45:49 74:21554 15:72435
2009:01:20:08:45:49 69:66569 15:07363
2009:01:20:08:45:49 74:80749 15:77503
2009:01:20:08:45:49 71:39101 16:14273
2009:01:20:08:45:50 74:84869 15:96123
2009:01:20:08:45:50 71:51886 16:48204
2009:01:20:08:45:50 75:14350 16:35162
2009:01:20:08:45:50 71:53277 16:61819
2009:01:20:08:45:50 75:25289 17:07447
2009:01:20:08:45:50 72:21322 16:96464
2009:01:20:08:45:50 75:77634 17:15048
2009:01:20:08:45:50 72:83606 17:19263
2009:01:20:08:45:51 76:08581 17:18614
2009:01:20:08:45:51 74:02411 17:36194
2009:01:20:08:45:51 76:33020 17:40458
2009:01:20:08:45:51 74:71672 17:49342
2009:01:20:08:45:51 77:00827 17:40952
2009:01:20:08:45:51 77:77517 17:53693
2009:01:20:08:45:51 77:28284 17:47614
2009:01:20:08:45:51 78:11573 18:69943
2009:01:20:08:45:52 78:50408 17:48090
2009:01:20:08:45:52 78:43849 18:89532
2009:01:20:08:45:52 78:77760 18:05517
2009:01:20:08:45:52 79:63121 19:57397
2009:01:20:08:45:52 79:37652 18:90179
2009:01:20:08:45:52 79:49657 19:59943
2009:01:20:08:45:53 79:57412 19:60060
2009:01:20:08:45:53 79:64665 19:98606
2009:01:20:08:45:46 67:77097
2009:01:20:08:45:46 68:20325
2009:01:20:08:45:47 68:42243
2009:01:20:08:45:47 68:44214
2009:01:20:08:45:47 68:94901
2009:01:20:08:45:47 69:47308
2009:01:20:08:45:47 65:81323
2009:01:20:08:45:48 69:53432
2009:01:20:08:45:48 65:82138
2009:01:20:08:45:48 69:61354
2009:01:20:08:45:48 67:09262
2009:01:20:08:45:48 71:19311
2009:01:20:08:45:48 67:30402
2009:01:20:08:45:48 72:18628
2009:01:20:08:45:48 68:77500
2009:01:20:08:45:49 73:02414
2009:01:20:08:45:49 69:39847
2009:01:20:08:45:49 73:02827
2009:01:20:08:45:49 69:42185
2009:01:20:08:45:49 74:21554
2009:01:20:08:45:49 69:66569
2009:01:20:08:45:49 74:80749
2009:01:20:08:45:49 71:39101
2009:01:20:08:45:50 74:84869
2009:01:20:08:45:50 71:51886
2009:01:20:08:45:50 75:14350
2009:01:20:08:45:50 71:53277
2009:01:20:08:45:50 75:25289
2009:01:20:08:45:50 72:21322
2009:01:20:08:45:50 75:77634
2009:01:20:08:45:50 72:83606
2009:01:20:08:45:51 76:08581
2009:01:20:08:45:51 74:02411
2009:01:20:08:45:51 76:33020
2009:01:20:08:45:51 74:71672
2009:01:20:08:45:51 77:00827
2009:01:20:08:45:51 77:77517
2009:01:20:08:45:51 77:28284
2009:01:20:08:45:51 78:11573
2009:01:20:08:45:52 78:50408
2009:01:20:08:45:52 78:43849
2009:01:20:08:45:52 78:77760
2009:01:20:08:45:52 79:63121
2009:01:20:08:45:52 79:37652
2009:01:20:08:45:52 79:49657
2009:01:20:08:45:53 79:57412
2009:01:20:08:45:53 79:64665
